Robot ID,Status,Total Time (s),Interventions,Human Time (s),Auto Time (s)
0,Success,5.76,0,0.00,5.76
2,Success,54.61,1,0.00,54.61
0,Success,0.27,0,0.00,0.27
1,Success,47.22,1,0.00,47.22
2,Success,119.18,3,40.85,78.33
2,Failed,300.50,1,0.00,0.00
1,Failed,300.64,1,0.00,0.00
0,Failed,300.64,1,0.00,294.06
0,Success,34.18,0,0.00,34.18
1,Failed,300.52,0,0.00,0.00
0,Failed,300.66,0,0.00,0.00
2,Failed,300.66,0,0.00,0.00
2,Failed,300.50,0,0.00,0.00
1,Failed,300.50,0,0.00,0.00
0,Failed,300.64,0,0.00,0.00
0,Success,206.46,7,0.00,206.46
1,Failed,300.52,9,0.00,283.47
0,Failed,300.52,0,0.00,0.00
1,Failed,300.68,0,0.00,0.00
1,Success,50.29,0,0.00,50.29
0,Failed,300.54,0,0.00,0.00


1,Failed,300.50,0,0.00,0.00
0,Failed,300.65,0,0.00,0.00
3,Failed,300.78,0,0.00,0.00
2,Failed,300.78,0,0.00,0.00
2,Success,52.82,0,0.00,52.82
1,Success,117.31,0,0.00,117.31


0,Success,48.09,2,27.28,20.80
2,Success,142.60,5,68.71,73.89



0,Success,57.77,2,43.46,14.31


0,Success,86.77,0,0.00,86.77
0,Failed,300.52,0,0.00,0.00
1,Failed,300.52,0,0.00,0.00



0,Failed,300.52,0,0.00,0.00
1,Failed,300.65,0,0.00,0.00







0,Success,80.29,0,0.00,80.29
1,Failed,300.53,0,0.00,0.00


1,Failed,300.51,0,0.00,0.00
0,Failed,300.65,0,0.00,0.00
1,Success,144.02,4,4.48,139.54
0,Failed,300.51,4,0.00,90.69
1,Success,60.50,2,35.90,24.59


2,Success,249.40,0,0.00,249.40



0,Failed,300.52,0,0.00,0.00
2,Failed,300.52,0,0.00,0.00
1,Failed,300.66,0,0.00,0.00
0,Success,201.84,7,0.00,201.84
2,Success,51.29,2,0.00,51.29
3,Failed,300.51,0,0.00,0.00
1,Failed,300.64,0,0.00,0.00
0,Failed,300.64,0,0.00,0.00
2,Failed,300.79,0,0.00,0.00
1,Success,205.17,15,0.00,205.17
2,Success,59.65,0,0.00,59.65
3,Success,72.70,0,0.00,72.70
0,Success,166.82,0,0.00,166.82
2,Success,29.27,1,0.00,29.27
3,Success,101.58,4,10.86,90.73
